,name,date,votes,all_votes,winner,win_difference
1320,seraphina finally becomes a dragon! unfortunately for her she's lizard sized.,2018-03-11 22:20:50.280200432+00:00,39,61,False,0
12698,kidkinds: the entire story has just been an elaborate game of make-believe being created by a group of friends separated by recess blocks at elementary school,2022-04-11 00:17:05.668694114+00:00,39,39,True,16
14322,a dentist's nightmare. dragon comes in for dental check-up,2022-10-02 23:21:50.254440739+00:00,39,39,True,6
6906,karen catches maren giving sythe a belly rub,2020-08-02 21:17:07.107729070+00:00,39,39,True,6
99,daniels' tigress friend dragging him off to shepards square,2017-04-16 19:42:05.738485880+00:00,39,77,False,0
16352,the modern trio as air hostesses.,2023-04-24 00:46:57.396904359+00:00,39,39,True,1
12477,adira and jade enjoy actually enjoyable mother's day pancakes thanks to some subtle and anonymous help the kids got.,2022-03-20 21:23:22.833219684+00:00,38,38,True,5
8612,maren's pet grooming instincts kick in and she decides to give sythe a bath... together.,2021-01-10 21:09:37.664629091+00:00,38,38,True,3
13970,"""lieutenant reed... why do you have a tail?"" ""but sir, everybody has one just like this now. look, you do too!"" keiren wakes up in a panic from his very adorable snepmare.",2022-09-04 22:21:28.240976807+00:00,38,38,True,5
17717,nibs dancing with wigglefox (the marionette from anthrocon),2023-08-21 00:11:53.910509892+00:00,38,38,True,15
12517,"a former templar opens up an orphanage for human, keidran and basitin children. despite their differences and circumstances, the children off all three races get along and play under their caretaker's gentle eyes.",2022-03-21 00:42:55.721075510+00:00,38,38,True,1
1913,adira dakimakura,2018-06-17 20:39:02.714569657+00:00,38,63,False,0
17069,father's day sketch: karen and maren visiting the grave of their father to wish him a happy father's day.,2023-06-19 05:12:58.516261748+00:00,38,38,True,8
11777,saria ref sheet,2022-01-02 22:03:52.026131685+00:00,38,38,True,8
10087,sythe rubs wolf-maren paws to help her relax. maren pretends she doesn't like this,2021-06-20 23:55:06.909045035+00:00,38,38,True,1
11837,anklet of humanification - the return of vehra. she regains memories & magical prowess.,2022-01-03 01:21:54.054735012+00:00,38,38,True,1
21390,world building sketch: a fox keidran takes their young cub out fishing at sea.,2018-01-14 23:57:11.336804041+00:00,38,56,False,0
20714,strip poker 2: lt. reed vs. sythe,2017-09-24 22:44:39.598511145+00:00,37,61,False,0
345,"""building alliances...through strip poker!?"" kei and alelaide",2017-06-05 00:01:40.606949578+00:00,37,37,True,3
21383,nibbly rocking out to some metal. \m/,2018-01-14 22:51:45.000378404+00:00,37,57,False,0
