,name,date,votes,winner,win_difference
11310,willow's mother in a modern day scp containment area. ,2021-09-06 01:03:22.428715979+00:00,32,True,3
11349,willow ecstatic after finding a movie with her name on it. (kat/laura having trouble trying to explain it's not about her.),2021-09-06 02:52:27.459815576+00:00,1,False,0
11363,"laura, kat, and willow on a hike, but they realize they're lost near sunset, with willow as the navigator. perhaps she forgot the map and tried to wing it by ""instinct"" or didn't even think to use it. ",2021-09-06 04:00:32.176678542+00:00,0,False,0
11385,willow meets her aunt nora,2021-09-06 04:00:32.176678542+00:00,2,False,0
11387,willow laura candlelight dinner,2021-09-06 04:00:32.176678542+00:00,1,False,0
11428,"human willow - willow is wearing her fey-cloak and carrying her lantern in the woods, looking over her shoulder to make sure nobody is following her, similar to in your original sketch of her:",2021-09-12 23:57:23.862955229+00:00,8,False,0
11472,willow and laura candlelight dinner,2021-09-13 02:46:18.647019657+00:00,2,False,0
11524,willow getting scared by stoney when she thought it was a statue before it started moving.,2021-09-20 00:07:54.659111387+00:00,3,False,0
11534,kat and laura chasing willow whilst wearing the goofy t-rex costumes,2021-09-20 00:07:54.659111387+00:00,3,False,0
11535,"willow and laura find themselves in the ""human only"" bath",2021-09-20 00:07:54.659111387+00:00,10,False,0
11563,"modern au: willow, kathrin and laura are on a hiking trip. now night falls and the three girls sit around a campfire, surrounded by fireflies.",2021-09-20 03:43:10.907398096+00:00,14,False,0
11575,"human willow - willow is wearing her fey-cloak and carrying her lantern in the woods, looking over her shoulder to make sure nobody is following her",2021-09-20 04:37:55.119177726+00:00,4,False,0
11585,"modern au kat, laura and willow all go out for a night on the town. a tipsy kat decides to try to flirt with the charming bartender mike, who is just kinda amused by her attention since he gets it a lot.",2021-09-20 04:37:55.119177726+00:00,3,False,0
11597,willow and laura candlelight dinner,2021-09-20 04:37:55.119177726+00:00,9,False,0
11616,"costume party at riftwall tavern west; featuring amelia, windstraw, magpie, and willow",2021-10-03 21:44:52.285205523+00:00,6,False,0
11626,"modern au: willow, kathrin and laura are on a hiking trip. now night falls and the three girls sit around a campfire, surrounded by fireflies.",2021-10-03 21:44:52.285205523+00:00,21,False,0
11649,mother's wrath: willow's mother shows how spooky she can be when some loggers show up to start cutting down her forest.,2021-10-03 23:18:02.122877750+00:00,8,False,0
11651,"willow and laura accidentally enter the ""human only"" bath",2021-10-03 23:18:02.122877750+00:00,1,False,0
11664,human druid willow tending to the spirits and wisps under a great oak tree.,2021-10-04 00:26:54.467537306+00:00,1,False,0
11675,"the modern trio have a doubles match of tennis, with willow wisp and hollow counting as two players.",2021-10-04 00:26:54.467537306+00:00,2,False,0
11732,"willow and laura accidentally enter the ""humans only"" bath.",2021-10-10 21:52:13.933335873+00:00,6,False,0
11768,"costume party at riftwall tavern west; featuring amelia, windstraw, magpie, and willow",2021-10-10 23:52:29.177745044+00:00,9,False,0
11789,"modern au: willow, kathrin and laura are on a hiking trip. now night falls and the three girls sit around a campfire, surrounded by fireflies.",2021-10-11 01:30:11.343082427+00:00,27,True,4
11799,human druidess willow tending to the wisps/spirits under a great oak tree.,2021-10-11 01:30:11.343082427+00:00,2,False,0
